origin_id,school_id,cci_cost
nta_QN52,school_K549,5246.0631023082615
nta_QN52,school_R470,7159.560916262315
nta_QN52,school_M376,5157.593031218686
nta_QN52,school_Q566,3224.093266479791
nta_QN52,school_X185,5410.303878391298
nta_QN52,school_X670,5535.674072154181
nta_QN52,school_M463,6675.808781141322
nta_QN52,school_M284,5695.333810940942
nta_QN52,school_X251,5116.085591267311
nta_QN52,school_X650,5413.410213661655
nta_QN52,school_X446,5390.11741427833
nta_QN52,school_X295,4080.312121031395
nta_QN52,school_Q351,6086.290363881691
nta_QN52,school_K417,5027.661921032661
nta_QN52,school_X381,5707.857768001636
nta_QN52,school_K489,6139.678362399502
nta_QN52,school_K793,5469.068546220537
nta_QN52,school_Q475,3990.360666375702
nta_QN52,school_Q540,1728.3509103875033
nta_QN52,school_X297,5932.3957236561355
nta_QN52,school_M448,5652.930981062563
nta_QN52,school_R460,8947.6782404205
nta_QN52,school_M392,5134.752009888618
nta_QN52,school_K540,7407.90480232962
nta_QN52,school_R445,8174.972568823902
nta_QN52,school_X539,
nta_QN52,school_Q310,
nta_QN52,school_Q550,2829.067662969222
nta_QN52,school_Q425,2332.200435973845
nta_QN52,school_R455,9201.264443766775
nta_QN52,school_M721,5172.727116037654
nta_QN52,school_K646,4882.990772135452
nta_QN52,school_K605,5692.332157045309
nta_QN52,school_K141,6525.42151706443
nta_QN52,school_K408,6472.7644196001365
nta_QN52,school_Q993,3685.5148768270838
nta_QN52,school_Q272,4216.353800160546
nta_QN52,school_M308,5183.451148510964
nta_QN52,school_K538,5482.569693839141
nta_QN52,school_M418,5106.71250973227
nta_QN52,school_X351,6260.624860636493
nta_QN52,school_M586,4806.115867471726
nta_QN52,school_M489,5224.881278731275
nta_QN52,school_Q494,3305.293526691232
nta_QN52,school_Q498,3305.293526691232
nta_QN52,school_M298,5145.907257506891
nta_QN52,school_M600,4816.134546137922
nta_QN52,school_X437,5344.719686725675
nta_QN52,school_Q324,6086.290363881691
nta_QN52,school_M294,5183.451148510964
nta_QN52,school_X723,4651.563577144764
nta_QN52,school_Q075,4980.437251936022
nta_QN52,school_M545,5183.451148510964
nta_QN52,school_X332,4942.474362704407
nta_QN52,school_Q009,4499.322188663845
nta_QN52,school_X186,5770.39382886336
nta_QN52,school_M283,5166.06602218209
nta_QN52,school_M615,5157.593031218686
nta_QN52,school_X543,5932.3957236561355
nta_QN52,school_K552,5246.0631023082615
nta_QN52,school_M402,5656.588707054154
nta_QN52,school_X276,5840.669034611497
nta_QN52,school_M645,5148.289132940546
nta_QN52,school_R605,7849.999636421999
nta_QN52,school_K669,5643.915811767775
nta_QN52,school_K495,8122.6497579205325
nta_QN52,school_K563,7314.758369736842
nta_QN52,school_X012,3953.9127063691208
nta_QN52,school_Q530,3308.2688860157186
nta_QN52,school_Q792,2575.8375729371905
nta_QN52,school_X414,6012.785905957614
nta_QN52,school_K077,5739.70437860874
nta_QN52,school_X405,3922.4794422015398
nta_QN52,school_Q350,
nta_QN52,school_X754,5226.315269984544
nta_QN52,school_K405,6989.920762279572
nta_QN52,school_K369,5237.905213240411
nta_QN52,school_M307,5166.06602218209
nta_QN52,school_X329,6012.785905957614
nta_QN52,school_M707,5222.631377967907
nta_QN52,school_Q296,3106.7673043351306
nta_QN52,school_K693,4626.644510278726
nta_QN52,school_X265,5569.151975602528
nta_BK44,school_K578,2298.4912097169786
nta_BK44,school_X320,6500.760930820017
nta_BK44,school_M500,4036.321546027409
nta_BK44,school_M202,3685.2742745651462
nta_BK44,school_X442,5829.471759084209
nta_BK44,school_Q450,5145.5373920688335
nta_BK44,school_M560,3746.664453289242
nta_BK44,school_Q505,5519.091932784216
nta_BK44,school_M425,3278.365706243545
nta_BK44,school_M423,5371.159046954639
nta_BK44,school_X684,6011.135632570537
nta_BK44,school_K792,3130.3381149143656
nta_BK44,school_M551,
nta_BK44,school_X550,6175.831357432071
nta_BK44,school_Q326,6543.833161366293
nta_BK44,school_M680,4927.7536607046
nta_BK44,school_X549,5829.471759084209
nta_BK44,school_K403,4879.5042924306745
nta_BK44,school_Q620,6206.464660007652
nta_BK44,school_X521,6175.831357432071
nta_BK44,school_X379,5667.221027994351
nta_BK44,school_M401,6756.434532242147
nta_BK44,school_K502,3896.402211890078
nta_BK44,school_M316,3193.221445073565
nta_BK44,school_M404,4740.693144537325
nta_BK44,school_K546,3160.3134934668697
nta_BK44,school_Q260,
nta_BK44,school_X290,6925.873177753264
nta_BK44,school_M427,4036.321546027409
nta_BK44,school_M580,3193.221445073565
nta_BK44,school_Q233,5722.1677699516995
nta_BK44,school_Q334,5301.035216561956
