source,target,type,shape_id,weight
sub_219S,sub_220S,transit_travel,sub_5..S12R,90.0
sub_219S,sub_220S,transit_travel,sub_nan,108.75
sub_220N,sub_219N,transit_travel,sub_2..N01R,90.0
sub_220N,sub_219N,transit_travel,sub_2..N02R,90.0
sub_220N,sub_219N,transit_travel,sub_5..N24R,90.0
sub_220N,sub_219N,transit_travel,sub_nan,90.0
sub_220S,sub_221S,transit_travel,sub_2..S01R,150.0
sub_220S,sub_221S,transit_travel,sub_2..S03R,150.0
sub_220S,sub_221S,transit_travel,sub_5..S03R,150.0
sub_220S,sub_221S,transit_travel,sub_5..S12R,150.0
sub_220S,sub_221S,transit_travel,sub_nan,142.8
sub_221N,sub_213N,transit_travel,sub_nan,630.0
sub_221N,sub_220N,transit_travel,sub_2..N01R,132.27272727272728
sub_221N,sub_220N,transit_travel,sub_2..N02R,150.0
sub_221N,sub_220N,transit_travel,sub_5..N24R,120.0
sub_221N,sub_220N,transit_travel,sub_nan,131.42857142857142
sub_221S,sub_222S,transit_travel,sub_2..S01R,120.0
sub_221S,sub_222S,transit_travel,sub_2..S03R,120.0
sub_221S,sub_222S,transit_travel,sub_5..S03R,120.0
sub_221S,sub_222S,transit_travel,sub_5..S04R,106.15384615384616
sub_221S,sub_222S,transit_travel,sub_5..S06R,120.0
sub_221S,sub_222S,transit_travel,sub_5..S09R,107.14285714285714
sub_221S,sub_222S,transit_travel,sub_5..S11R,120.0
sub_221S,sub_222S,transit_travel,sub_5..S12R,120.0
sub_221S,sub_222S,transit_travel,sub_5..S14R,120.0
sub_221S,sub_222S,transit_travel,sub_5..S15R,120.0
sub_221S,sub_222S,transit_travel,sub_nan,148.8
sub_222N,sub_221N,transit_travel,sub_2..N01R,120.0
sub_222N,sub_221N,transit_travel,sub_2..N02R,120.0
sub_222N,sub_221N,transit_travel,sub_5..N24R,120.0
sub_222N,sub_221N,transit_travel,sub_nan,115.38461538461539
sub_222S,sub_224S,transit_travel,sub_2..S01R,210.0
sub_222S,sub_224S,transit_travel,sub_2..S03R,210.0
sub_222S,sub_224S,transit_travel,sub_nan,238.8
sub_222S,sub_416S,transit_travel,sub_5..S03R,180.0
sub_222S,sub_416S,transit_travel,sub_5..S04R,196.15384615384616
sub_222S,sub_416S,transit_travel,sub_5..S06R,210.0
sub_222S,sub_416S,transit_travel,sub_5..S09R,197.14285714285714
sub_222S,sub_416S,transit_travel,sub_5..S11R,210.0
sub_222S,sub_416S,transit_travel,sub_5..S12R,180.0
sub_222S,sub_416S,transit_travel,sub_5..S14R,210.0
sub_222S,sub_416S,transit_travel,sub_5..S15R,210.0
sub_224N,sub_222N,transit_travel,sub_2..N01R,210.0
sub_224N,sub_222N,transit_travel,sub_2..N02R,210.0
sub_224N,sub_302N,transit_travel,sub_3..N01R,120.0
sub_224S,sub_225S,transit_travel,sub_2..S01R,120.0
sub_224S,sub_225S,transit_travel,sub_2..S03R,120.0
sub_224S,sub_225S,transit_travel,sub_3..S01R,120.0
sub_224S,sub_225S,transit_travel,sub_3..S03R,120.0
sub_224S,sub_225S,transit_travel,sub_nan,120.0
sub_225N,sub_224N,transit_travel,sub_2..N01R,102.27272727272727
sub_225N,sub_224N,transit_travel,sub_2..N02R,90.0
sub_225N,sub_224N,transit_travel,sub_3..N01R,101.42857142857143
sub_225S,sub_226S,transit_travel,sub_2..S01R,90.0
sub_225S,sub_226S,transit_travel,sub_2..S03R,90.0
sub_225S,sub_226S,transit_travel,sub_3..S01R,90.0
sub_225S,sub_226S,transit_travel,sub_3..S03R,90.0
sub_225S,sub_226S,transit_travel,sub_nan,90.0
sub_226N,sub_225N,transit_travel,sub_2..N01R,90.0
sub_226N,sub_225N,transit_travel,sub_2..N02R,90.0
sub_226N,sub_225N,transit_travel,sub_3..N01R,90.0
